  0   0.00000
 10   0.17365
 20   0.34202
 30   0.50000
 40   0.64279
 50   0.76604
 60   0.86603
 70   0.93969
 80   0.98481
 90   1.00000
100   0.98481
110   0.93969
120   0.86603
130   0.76604
140   0.64279
150   0.50000
160   0.34202
170   0.17365
180   0.00000
190  -0.17365
200  -0.34202
210  -0.50000
220  -0.64279
230  -0.76604
240  -0.86603
250  -0.93969
260  -0.98481
270  -1.00000
280  -0.98481
290  -0.93969
300  -0.86603
310  -0.76604
320  -0.64279
330  -0.50000
340  -0.34202
350  -0.17365
360   0.00000
